,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
82,@BBC,Fri Sep 21 17:03:01 +0000 2018,"""Working on this project has been a tremendous labour of love"" 📖💕🥘

Meghan Markle celebrated the launch of her Gren… https://t.co/vbPiUJw3sr",0.836,0.305,0.695,0.0,83
83,@BBC,Fri Sep 21 16:01:00 +0000 2018,Jumping into the weekend like... 😼 #FridayFeeling https://t.co/vdWEXCzlSI,0.0,0.0,1.0,0.0,84
84,@BBC,Fri Sep 21 15:41:21 +0000 2018,"RT @bbc5live: Today, we said goodbye to our dear colleague and friend Rachael Bland.
 
#RaiseAGlassToRach is our way of giving a big burst…",0.802,0.301,0.699,0.0,85
85,@BBC,Fri Sep 21 15:02:03 +0000 2018,"We'd totally swipe right for a @Drake and @joshgroban collaboration! 🎶🎤

https://t.co/hpCSuIRqcB",0.0,0.0,1.0,0.0,86
86,@BBC,Fri Sep 21 14:00:14 +0000 2018,"“I basically invented Come Dine With Me!” 😂

10 things you didn’t know about @petercrouch ➡️… https://t.co/CZGm2Rqm7I",0.0,0.0,1.0,0.0,87
87,@BBC,Fri Sep 21 13:01:07 +0000 2018,"We're officially obsessed with Hansel the armadillo. 😍@katehumble #AnimalPark 

 https://t.co/C7i5hEMPMG",-0.1779,0.0,0.841,0.159,88
88,@BBC,Fri Sep 21 11:02:04 +0000 2018,"😍🐶👮 Meet the cutest and newest recruits for Chile's national police force...

https://t.co/zbJZRdrUbD",0.5859,0.241,0.759,0.0,89
89,@BBC,Fri Sep 21 10:02:06 +0000 2018,".@StaceyDooley meets the family prepping for the apocalypse. (Via @BBCThree) 

https://t.co/IZE9vJTDCy",0.0,0.0,1.0,0.0,90
90,@BBC,Fri Sep 21 09:02:06 +0000 2018,"😳🌬👕 Extreme Laundry is NOT for the faint hearted... 

https://t.co/1N9jAKP2c4",0.0,0.0,1.0,0.0,91
91,@BBC,Fri Sep 21 07:55:01 +0000 2018,✈️Airline Cathay Pacific has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/rY5SsBEsuf,0.0,0.0,1.0,0.0,92
92,@BBC,Fri Sep 21 07:48:00 +0000 2018,"RT @BBC6Music: Have you heard this year’s @MercuryPrize winning album?

📼 Visions of a live show: Watch Mercury Prize winners Wolf Alice’s…",0.8934,0.422,0.578,0.0,93
93,@BBC,Fri Sep 21 07:32:05 +0000 2018,"Do you Tolstoy on the treadmill? Christie on the commute? Kipling in the kitchen?

Here are 13 reasons why listenin… https://t.co/DoKcev0DyQ",0.0,0.0,1.0,0.0,94
94,@BBC,Fri Sep 21 07:03:06 +0000 2018,"""He was dissing me and then laughing his head off."" 😂👑

When Prince Harry met @PeterCrouch... 

https://t.co/BYAEWcmlcK",0.4939,0.167,0.833,0.0,95
95,@BBC,Thu Sep 20 19:01:09 +0000 2018,"🎶🎧 @AnnieMac hosts this year's prestigious music awards ceremony from the Eventim Apollo in London. 

#MercuryPrize… https://t.co/p2sWK8Ix9N",0.4588,0.158,0.842,0.0,96
96,@BBC,Thu Sep 20 17:02:07 +0000 2018,📷 🌃 Photographer and art director @liamwong creates incredible sci-fi-style images of Tokyo at night...… https://t.co/qfz5mAzCcd,0.2732,0.139,0.861,0.0,97
97,@BBC,Thu Sep 20 16:54:15 +0000 2018,"RT @BBC6Music: It's nearly time for the #MercuryPrize 2018, but who's nominated? Who might win? 

Here's the 6 Music Guide, and you can lea…",0.7622,0.202,0.798,0.0,98
98,@BBC,Thu Sep 20 16:06:06 +0000 2018,"'A pan of lasagne can say a lot more than a sympathy card'.

Is food the best language of grief? 📻👉… https://t.co/oKCl8LQCZt",0.5829,0.257,0.625,0.118,99
99,@BBC,Thu Sep 20 15:04:05 +0000 2018,"Go Denis! 💪 This 85-year-old great grandfather tackled would-be robbers wielding a sawn-off shotgun and hammers... 

https://t.co/RMqAjJb7r7",0.6588,0.239,0.761,0.0,100
100,@CBS,Wed Sep 26 17:25:43 +0000 2018,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",0.0,0.0,1.0,0.0,1
101,@CBS,Tue Sep 25 21:10:56 +0000 2018,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",-0.2714,0.106,0.745,0.149,2
102,@CBS,Tue Sep 25 20:31:45 +0000 2018,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",-0.2263,0.0,0.909,0.091,3
103,@CBS,Tue Sep 25 19:54:26 +0000 2018,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,0.0,0.0,1.0,0.0,4
